Date,Overnight MIBOR(%),Rate_Decimal 
01-Feb-24,6.85,0.0685
05-Feb-24,6.54,0.0654
06-Feb-24,6.55,0.0655
07-Feb-24,6.55,0.0655
08-Feb-24,6.75,0.0675
09-Feb-24,6.85,0.0685
12-Feb-24,6.85,0.0685
13-Feb-24,6.85,0.0685
14-Feb-24,6.8,0.0680
15-Feb-24,6.75,0.0675
20-Feb-24,6.79,0.0679
21-Feb-24,6.7,0.0670
22-Feb-24,6.65,0.0665
23-Feb-24,6.7,0.0670
26-Feb-24,6.8,0.0680
27-Feb-24,6.8,0.0680
28-Feb-24,6.5,0.0650
29-Feb-24,6.8,0.0680
04-Mar-24,6.6,0.0660
05-Mar-24,6.54,0.0654
06-Mar-24,6.52,0.0652
07-Mar-24,6.62,0.0662
11-Mar-24,6.8,0.0680
12-Mar-24,6.73,0.0673
13-Mar-24,6.66,0.0666
14-Mar-24,6.55,0.0655
18-Mar-24,6.75,0.0675
19-Mar-24,6.65,0.0665
20-Mar-24,6.55,0.0655
21-Mar-24,6.79,0.0679
22-Mar-24,6.85,0.0685
26-Mar-24,6.83,0.0683
27-Mar-24,6.72,0.0672
02-Apr-24,6.54,0.0654
03-Apr-24,6.54,0.0654
04-Apr-24,6.55,0.0655
08-Apr-24,6.56,0.0656
10-Apr-24,6.64,0.0664
12-Apr-24,6.69,0.0669
15-Apr-24,6.66,0.0666
16-Apr-24,6.6,0.0660
18-Apr-24,6.6,0.0660
22-Apr-24,6.7,0.0670
23-Apr-24,6.74,0.0674
24-Apr-24,6.76,0.0676
25-Apr-24,6.8,0.0680
26-Apr-24,6.79,0.0679
29-Apr-24,6.78,0.0678
30-Apr-24,6.75,0.0675
02-May-24,6.63,0.0663
06-May-24,6.5,0.0650
07-May-24,6.59,0.0659
08-May-24,6.68,0.0668
09-May-24,6.78,0.0678
10-May-24,6.8,0.0680
13-May-24,6.82,0.0682
14-May-24,6.81,0.0681
15-May-24,6.55,0.0655
16-May-24,6.55,0.0655
21-May-24,6.83,0.0683
22-May-24,6.85,0.0685
24-May-24,6.8,0.0680
27-May-24,6.75,0.0675
28-May-24,6.55,0.0655
29-May-24,6.55,0.0655
30-May-24,6.55,0.0655
03-Jun-24,6.52,0.0652
04-Jun-24,6.54,0.0654
05-Jun-24,6.58,0.0658
06-Jun-24,6.6,0.0660
07-Jun-24,6.59,0.0659
10-Jun-24,6.6,0.0660
11-Jun-24,6.6,0.0660
12-Jun-24,6.6,0.0660
13-Jun-24,6.55,0.0655
18-Jun-24,6.85,0.0685
19-Jun-24,6.74,0.0674
20-Jun-24,6.7,0.0670
21-Jun-24,6.78,0.0678
24-Jun-24,6.77,0.0677
25-Jun-24,6.61,0.0661
26-Jun-24,6.65,0.0665
27-Jun-24,6.81,0.0681
01-Jul-24,6.6,0.0660
02-Jul-24,6.55,0.0655
03-Jul-24,6.55,0.0655
04-Jul-24,6.55,0.0655
08-Jul-24,6.62,0.0662
09-Jul-24,6.55,0.0655
10-Jul-24,6.55,0.0655
11-Jul-24,6.55,0.0655
12-Jul-24,6.55,0.0655
15-Jul-24,6.55,0.0655
16-Jul-24,6.55,0.0655
18-Jul-24,6.55,0.0655
22-Jul-24,6.69,0.0669
23-Jul-24,6.77,0.0677
24-Jul-24,6.79,0.0679
25-Jul-24,6.66,0.0666
26-Jul-24,6.55,0.0655
29-Jul-24,6.55,0.0655
30-Jul-24,6.55,0.0655
31-Jul-24,6.55,0.0655
01-Aug-24,6.55,0.0655
05-Aug-24,6.55,0.0655
06-Aug-24,6.5,0.0650
07-Aug-24,6.5,0.0650
08-Aug-24,6.75,0.0675
09-Aug-24,6.65,0.0665
12-Aug-24,6.55,0.0655
13-Aug-24,6.55,0.0655
14-Aug-24,6.55,0.0655
19-Aug-24,6.55,0.0655
20-Aug-24,6.59,0.0659
21-Aug-24,6.6,0.0660
22-Aug-24,6.6,0.0660
23-Aug-24,6.6,0.0660
26-Aug-24,6.6,0.0660
27-Aug-24,6.6,0.0660
28-Aug-24,6.6,0.0660
29-Aug-24,6.7,0.0670
02-Sep-24,6.55,0.0655
03-Sep-24,6.55,0.0655
04-Sep-24,6.55,0.0655
05-Sep-24,6.55,0.0655
06-Sep-24,6.6,0.0660
09-Sep-24,6.6,0.0660
10-Sep-24,6.6,0.0660
11-Sep-24,6.6,0.0660
12-Sep-24,6.6,0.0660
13-Sep-24,6.71,0.0671
16-Sep-24,6.71,0.0671
17-Sep-24,6.7,0.0670
19-Sep-24,6.74,0.0674
23-Sep-24,6.8,0.0680
24-Sep-24,6.8,0.0680
25-Sep-24,6.8,0.0680
26-Sep-24,6.65,0.0665
27-Sep-24,6.6,0.0660
30-Sep-24,6.76,0.0676
01-Oct-24,6.55,0.0655
03-Oct-24,6.54,0.0654
07-Oct-24,6.5,0.0650
08-Oct-24,6.5,0.0650
09-Oct-24,6.5,0.0650
10-Oct-24,6.5,0.0650
11-Oct-24,6.5,0.0650
14-Oct-24,6.5,0.0650
15-Oct-24,6.5,0.0650
16-Oct-24,6.5,0.0650
17-Oct-24,6.5,0.0650
21-Oct-24,6.5,0.0650
22-Oct-24,6.73,0.0673
23-Oct-24,6.78,0.0678
24-Oct-24,6.75,0.0675
25-Oct-24,6.7,0.0670
28-Oct-24,6.75,0.0675
29-Oct-24,6.5,0.0650
30-Oct-24,6.5,0.0650
31-Oct-24,6.61,0.0661
04-Nov-24,6.5,0.0650
05-Nov-24,6.4,0.0640
06-Nov-24,6.4,0.0640
07-Nov-24,6.49,0.0649
08-Nov-24,6.5,0.0650
11-Nov-24,6.5,0.0650
12-Nov-24,6.54,0.0654
13-Nov-24,6.46,0.0646
18-Nov-24,6.52,0.0652
19-Nov-24,6.57,0.0657
21-Nov-24,6.71,0.0671
22-Nov-24,6.84,0.0684
25-Nov-24,6.85,0.0685
26-Nov-24,6.84,0.0684
27-Nov-24,6.84,0.0684
28-Nov-24,6.82,0.0682
02-Dec-24,6.6,0.0660
03-Dec-24,6.5,0.0650
04-Dec-24,6.5,0.0650
05-Dec-24,6.6,0.0660
09-Dec-24,6.67,0.0667
10-Dec-24,6.8,0.0680
11-Dec-24,6.84,0.0684
12-Dec-24,6.76,0.0676
13-Dec-24,6.76,0.0676
16-Dec-24,6.79,0.0679
17-Dec-24,6.84,0.0684
18-Dec-24,6.82,0.0682
19-Dec-24,6.84,0.0684
23-Dec-24,6.84,0.0684
24-Dec-24,6.86,0.0686
26-Dec-24,6.75,0.0675
27-Dec-24,6.9,0.0690
30-Dec-24,6.9,0.0690
31-Dec-24,7.15,0.0715
01-Jan-25,6.6,0.0660
02-Jan-25,6.56,0.0656
06-Jan-25,6.75,0.0675
07-Jan-25,6.9,0.0690
08-Jan-25,6.88,0.0688
09-Jan-25,6.99,0.0699
10-Jan-25,7.08,0.0708
13-Jan-25,7,0.0700
14-Jan-25,6.6,0.0660
15-Jan-25,6.5,0.0650
16-Jan-25,6.63,0.0663
20-Jan-25,6.75,0.0675
21-Jan-25,6.61,0.0661
22-Jan-25,6.62,0.0662
23-Jan-25,6.65,0.0665
24-Jan-25,6.65,0.0665
27-Jan-25,6.65,0.0665
28-Jan-25,6.63,0.0663
29-Jan-25,6.65,0.0665
30-Jan-25,6.65,0.0665
03-Feb-25,6.65,0.0665
04-Feb-25,6.61,0.0661
05-Feb-25,6.58,0.0658
06-Feb-25,6.54,0.0654
07-Feb-25,6.35,0.0635
10-Feb-25,6.4,0.0640
11-Feb-25,6.4,0.0640
12-Feb-25,6.4,0.0640
13-Feb-25,6.4,0.0640
17-Feb-25,6.4,0.0640
18-Feb-25,6.4,0.0640
20-Feb-25,6.42,0.0642
21-Feb-25,6.4,0.0640
24-Feb-25,6.38,0.0638
25-Feb-25,6.4,0.0640
27-Feb-25,6.4,0.0640
03-Mar-25,6.4,0.0640
